Applicant's name,Applicant's date of birth,Applicant's contact information,Social Security Number,Loan or insurance policy type,Loan or policy amount,Application date,Application source,Income details,Credit score or credit history,Outstanding debts or liabilities,Identification documents,Employment verification documents,Income verification documents,Details about co-applicants,Property details,Vehicle details,Other asset details,Previous insurance claims history,Previous loan applications or approvals,Geographical data,Risk scores or flags assigned during initial risk assessment,Fraud Indicators,Decision or Outcome,Notes or Comments
Katrina Kramer,1983-07-31,"USCGC Perez
FPO AA 42663",827-54-3747,Auto Loan,11448,2022-05-24 08:17:33,In-Person,648602,509,80375,Passport,Pay Stub,Bank Statements,None,Apartment,SUV,Artwork,Previous Claims,Previous Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Rich full able five.
Erik Banks,1977-06-29,"1785 Lang Causeway Apt. 977
South Brittanyfurt, SD 75406",,Auto Loan,45158,2022-02-05 11:58:04,Online,961403,800,41415,Passport,Letter of Employment,Bank Statements,Spouse,Condo,Truck,Stocks,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Approved,Soldier final big treatment ten.
Thomas Bell,1990-06-06,"7485 Simmons Corner Suite 374
Christineland, SC 63966",,Mortgage,14457,2021-10-09 01:10:03,In-Person,51026,756,74361,Driver's License,Pay Stub,Bank Statements,Spouse,Single-Family Home,Sedan,Jewelry,No Claims,Previous Applications,Low Risk Area,Medium Risk,No Indicators,Approved,Food company law same.
Jacqueline Harris,1969-05-21,"39347 Robin Lodge Apt. 931
Harrisburgh, SC 34246",881-95-1446,Auto Loan,32958,2022-12-25 16:11:18,Online,765320,781,66135,Passport,Pay Stub,Tax Return,Spouse,Condo,Sedan,Stocks,Previous Claims,Previous Applications,Low Risk Area,High Risk,Suspicious Activity,Approved,Cost research describe wonder painting generation unit will.
Matthew Odonnell,1975-01-14,"663 Hughes Alley
East Jennifermouth, IN 38892",467-86-2900,Mortgage,13118,2023-09-21 14:13:43,In-Person,821492,302,88273,Driver's License,Pay Stub,Bank Statements,Child,Condo,Sedan,Jewelry,No Claims,No Applications,High Risk Area,Medium Risk,Suspicious Activity,Denied,Fear soon director while peace.
Rebecca Smith,1971-10-04,"2129 Turner Knolls Suite 098
South Brandonville, IA 75160",287-76-5344,Mortgage,98459,2020-01-13 16:00:17,Online,735073,392,41839,Driver's License,Letter of Employment,Tax Return,Spouse,Apartment,Sedan,Artwork,No Claims,Previous Applications,Low Risk Area,High Risk,No Indicators,Denied,Also time during entire.
Kathleen Burton,1953-06-24,"87271 Brown Street
South Jasonstad, IN 76295",,Auto Loan,39507,2021-10-15 20:46:26,Online,890507,772,84946,Driver's License,Letter of Employment,Tax Return,None,Condo,Sedan,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Approved,Foreign you water dinner protect worker rise.
Amy Brown,2000-05-08,"92094 Sharon Turnpike Apt. 696
North Joshuaside, NY 75484",442-51-0254,Mortgage,52464,2022-03-02 05:03:04,Online,468071,518,35963,Driver's License,Letter of Employment,Tax Return,Child,Apartment,Truck,Jewelry,Previous Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Approved,Family possible above light maybe actually.
Joan Oconnell,1974-08-12,"66171 Tracy Row Apt. 595
West Philipland, NJ 95472",304-51-5703,Life Insurance,73231,2021-11-30 21:46:47,In-Person,450967,327,39937,Passport,Letter of Employment,Tax Return,Spouse,Apartment,Truck,Jewelry,No Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Speak charge later instead glass knowledge less.
Leslie Ward,1965-07-13,"45766 Maldonado Causeway
South Amberside, IN 22012",,Life Insurance,43057,2021-08-30 14:59:38,Online,482338,491,53495,Passport,Pay Stub,Tax Return,Child,Condo,SUV,Stocks,Previous Claims,No Applications,High Risk Area,Low Risk,No Indicators,Further Investigation,Exactly exactly half usually computer card.
Cindy Grant,1995-10-20,"41266 Ferguson Prairie Suite 117
Pearsonburgh, FM 43791",,Auto Loan,10296,2022-12-21 22:00:40,In-Person,817246,798,95406,Passport,Pay Stub,Tax Return,None,Apartment,SUV,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,No Indicators,Denied,Throughout morning media six.
Elaine Castaneda,1974-06-18,"6191 Kathryn Garden Apt. 457
Andersonmouth, MH 51084",,Auto Loan,77474,2023-06-03 18:18:06,In-Person,593471,586,29221,Driver's License,Letter of Employment,Bank Statements,None,Apartment,Truck,Artwork,Previous Claims,No Applications,High Risk Area,High Risk,Red Flags,Denied,Spring plant season one west bring opportunity.
David Snyder,1981-03-14,"USS White
FPO AE 13743",,Mortgage,14938,2023-02-18 15:09:44,Online,114011,784,3146,Driver's License,Letter of Employment,Bank Statements,Spouse,Condo,SUV,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Further Investigation,School news report visit card society need.
Andrea Duke,1969-08-08,"9017 Flowers Path
Reidfort, ID 55291",,Auto Loan,52190,2021-09-05 16:54:55,In-Person,424249,423,59616,Passport,Pay Stub,Tax Return,Child,Single-Family Home,Truck,Stocks,No Claims,Previous Applications,Low Risk Area,High Risk,Red Flags,Approved,Watch control its hold produce age.
Frank Davis,1968-09-22,"2156 Joseph Ridges Suite 154
Linburgh, NM 59043",,Life Insurance,5582,2021-08-27 00:52:25,Online,249212,647,82775,Passport,Pay Stub,Bank Statements,Child,Single-Family Home,SUV,Jewelry,No Claims,No Applications,Low Risk Area,Low Risk,No Indicators,Denied,Market point computer happen keep always.
Austin Navarro,1980-12-23,"57396 Cruz Trail
South Chadstad, WA 58717",033-55-2715,Life Insurance,11032,2022-01-14 15:06:20,In-Person,523925,845,76657,Driver's License,Pay Stub,Tax Return,Child,Apartment,Truck,Artwork,No Claims,Previous Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Seven war score into economic manager.
Ashley Anderson,1977-07-16,"Unit 9887 Box 6092
DPO AE 36328",576-55-1959,Life Insurance,21364,2021-12-27 00:58:50,Online,82021,371,28622,Passport,Letter of Employment,Tax Return,Child,Condo,SUV,Artwork,Previous Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Approved,Hope floor ever cell number family capital.
Rebecca Weber,1977-01-21,"01104 Shane Isle Apt. 018
Pamelabury, AR 25841",,Life Insurance,70871,2022-06-18 21:31:13,Online,335904,524,61145,Passport,Pay Stub,Tax Return,Spouse,Apartment,SUV,Stocks,No Claims,Previous Applications,Low Risk Area,High Risk,Suspicious Activity,Further Investigation,Service admit financial thus society great suddenly.
Dylan Anderson,1974-12-28,"6810 Jackson Lane
North Jenniferfort, NH 85855",,Mortgage,21900,2023-03-06 09:08:55,In-Person,58391,389,11532,Passport,Letter of Employment,Bank Statements,Child,Single-Family Home,SUV,Artwork,No Claims,No Applications,High Risk Area,Medium Risk,No Indicators,Further Investigation,Task law anything laugh assume.
Sabrina Smith,1978-02-26,"07196 Brennan Passage
Susanborough, MH 47074",,Auto Loan,4809,2020-02-18 00:50:12,In-Person,655877,439,20303,Passport,Letter of Employment,Bank Statements,Child,Apartment,Sedan,Artwork,No Claims,Previous Applications,Low Risk Area,Low Risk,No Indicators,Approved,Each per instead option late second.
Cody Carter,2005-07-09,"89582 Robin Way
South Jose, IN 30172",,Life Insurance,64682,2020-11-21 22:19:01,Online,705734,621,19719,Driver's License,Pay Stub,Tax Return,None,Single-Family Home,Sedan,Artwork,Previous Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Become voice nor teach bar provide.
Sharon Haney,1954-06-27,"865 Anderson Mountains Apt. 338
Anthonychester, NE 42346",,Mortgage,15349,2022-01-22 03:32:37,Online,833242,731,58360,Passport,Letter of Employment,Bank Statements,None,Apartment,Sedan,Artwork,Previous Claims,Previous Applications,Low Risk Area,High Risk,Suspicious Activity,Further Investigation,Factor more century money us determine rest.
Deborah Dickerson,1974-03-09,"8979 Mcdowell Island
West Elizabethchester, WI 68888",,Auto Loan,96745,2021-09-21 20:18:52,In-Person,914837,311,6370,Driver's License,Letter of Employment,Tax Return,Spouse,Condo,Truck,Artwork,Previous Claims,No Applications,Low Risk Area,Low Risk,Red Flags,Approved,Type just most able usually serious pretty.
Luis Lawson,1956-05-26,"PSC 3104, Box 2763
APO AA 84047",002-61-9425,Mortgage,12540,2020-03-17 04:32:00,In-Person,754737,584,80586,Driver's License,Letter of Employment,Tax Return,Child,Condo,Sedan,Jewelry,No Claims,No Applications,High Risk Area,Medium Risk,No Indicators,Approved,Student brother particularly necessary.
Miranda Smith,1994-11-22,"89264 Anthony Views
Lake Ronald, TN 96573",,Auto Loan,53761,2021-07-13 12:54:18,In-Person,894184,560,95787,Driver's License,Pay Stub,Bank Statements,Spouse,Apartment,SUV,Stocks,No Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Further Investigation,Pretty all ability return.
Kathryn Reynolds,1972-11-24,"78967 Wells Field
Woodstown, IL 40019",,Auto Loan,75641,2021-11-13 15:34:21,Online,484945,849,93926,Driver's License,Pay Stub,Bank Statements,Child,Single-Family Home,SUV,Artwork,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Suspicious Activity,Denied,Of factor common later occur along.
Kristen Krueger,2000-03-27,"8342 Ramirez Highway
Brentfort, VT 40421",,Auto Loan,62534,2021-03-06 14:50:52,In-Person,746381,355,91009,Driver's License,Letter of Employment,Tax Return,Spouse,Condo,Truck,Artwork,No Claims,Previous Applications,High Risk Area,High Risk,Red Flags,Further Investigation,Morning foot stage hand may item.
Charles Miller,1986-04-20,"870 Brown Creek Suite 957
North Nicolehaven, KY 71010",812-36-8078,Mortgage,74897,2023-09-25 01:16:01,Online,598918,357,18158,Driver's License,Letter of Employment,Bank Statements,Child,Single-Family Home,Sedan,Artwork,No Claims,No Applications,Low Risk Area,Low Risk,No Indicators,Further Investigation,Clear whose common interesting.
Robert Taylor,1972-06-10,"7370 Torres Circle
New Evanshire, WV 58344",551-66-4150,Life Insurance,53104,2020-12-19 13:16:27,Online,306365,833,16549,Driver's License,Pay Stub,Tax Return,None,Single-Family Home,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,High Risk,Suspicious Activity,Denied,Newspaper check cold evening particularly doctor hour.
Daniel Moore,2003-11-24,"8121 Parsons Burgs Suite 316
Andreborough, OR 42242",592-24-0082,Mortgage,70710,2022-04-14 02:54:23,Online,714906,346,23691,Passport,Letter of Employment,Bank Statements,Spouse,Single-Family Home,SUV,Artwork,No Claims,Previous Applications,Low Risk Area,Low Risk,No Indicators,Further Investigation,Position college gun imagine quality.
Heather Phillips,1979-05-21,"PSC 2576, Box 8037
APO AE 51455",785-83-0706,Auto Loan,78834,2022-02-03 19:38:35,Online,762553,781,54797,Driver's License,Pay Stub,Tax Return,Spouse,Apartment,Truck,Stocks,Previous Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,At when draw.
Carlos Smith,1992-05-21,"586 Christian Plains
Seantown, PR 06811",,Life Insurance,59414,2022-06-28 11:20:23,Online,731267,688,38157,Driver's License,Pay Stub,Bank Statements,None,Condo,Truck,Artwork,Previous Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Approved,Far recently goal country culture score.
Katherine Warner,1959-09-08,"87083 Bradford Estate
Port Erika, TN 78803",,Life Insurance,64614,2022-10-11 22:50:53,In-Person,557408,718,84799,Passport,Pay Stub,Tax Return,Spouse,Single-Family Home,SUV,Jewelry,No Claims,No Applications,Low Risk Area,Medium Risk,No Indicators,Denied,Stuff quality fall here administration.
Miss Mackenzie Robles,1981-07-18,"23930 Robin Plain
Vasquezfurt, MA 19634",,Life Insurance,37175,2023-07-03 08:18:31,In-Person,109539,749,22665,Passport,Letter of Employment,Bank Statements,None,Condo,Sedan,Stocks,No Claims,No Applications,Low Risk Area,High Risk,No Indicators,Approved,Activity your bring have smile.
Dr. Dennis Joseph,1962-09-10,"4594 Theresa Lodge
New Kurt, MD 59382",860-42-7786,Mortgage,95999,2021-05-31 22:41:00,In-Person,865255,685,68766,Driver's License,Letter of Employment,Bank Statements,None,Single-Family Home,Sedan,Stocks,Previous Claims,No Applications,Low Risk Area,Low Risk,Suspicious Activity,Approved,Indicate certainly because although all fight network certain.
Gary Russell DDS,1983-12-24,"64519 Lane Points
Jenningsburgh, NJ 86730",,Auto Loan,34788,2021-07-08 15:59:06,Online,768616,632,50507,Passport,Pay Stub,Bank Statements,Child,Apartment,Sedan,Artwork,Previous Claims,Previous Applications,High Risk Area,Low Risk,Red Flags,Denied,Material protect care bed east brother customer.
Annette Walters,2005-02-22,"09186 Matthew Fall Apt. 044
North Robertchester, IL 75994",082-82-6603,Mortgage,95365,2022-04-10 09:02:49,Online,777901,638,64854,Driver's License,Letter of Employment,Tax Return,Child,Apartment,Sedan,Stocks,Previous Claims,No Applications,High Risk Area,High Risk,Red Flags,Further Investigation,Describe development free public.
Kristin Walls,1967-01-19,"143 Moore Union
Jonesside, KY 72288",,Auto Loan,19098,2020-10-24 20:07:41,In-Person,406233,625,98128,Passport,Letter of Employment,Tax Return,Child,Apartment,Sedan,Jewelry,No Claims,Previous Applications,Low Risk Area,Low Risk,Red Flags,Denied,Group a under action modern girl simple.
Rachel Coleman,1981-07-19,"8528 Michele Forks
Lake Lukestad, AZ 13572",801-09-3035,Auto Loan,87758,2021-07-21 22:40:37,In-Person,605686,408,10865,Passport,Pay Stub,Bank Statements,Child,Apartment,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,High Risk,No Indicators,Denied,Range machine list middle once.
Crystal Anderson,1966-07-30,"037 Robert Vista Apt. 073
Andersonport, IN 36540",,Auto Loan,93761,2021-11-08 18:02:30,Online,297084,631,22525,Passport,Pay Stub,Bank Statements,None,Condo,Sedan,Artwork,No Claims,No Applications,Low Risk Area,Low Risk,Red Flags,Denied,When white month foreign program recently company him.
Catherine Alvarado,1992-04-27,"12745 Christopher Canyon Suite 124
New Michaelstad, IN 42727",,Mortgage,8641,2020-04-18 20:09:33,Online,226248,501,60336,Passport,Pay Stub,Tax Return,Spouse,Condo,SUV,Stocks,Previous Claims,Previous Applications,Low Risk Area,High Risk,Suspicious Activity,Denied,Along history coach same maybe enough.
Andrew Richardson,1961-11-18,"4316 Harper Divide
Browningborough, TN 36637",285-99-7742,Life Insurance,57559,2023-08-12 01:56:36,Online,307116,675,36217,Passport,Letter of Employment,Bank Statements,None,Single-Family Home,Truck,Stocks,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Reflect level simple always inside next.
Tammy Best,1979-09-29,"7999 Nathan Passage
Robertshire, NJ 89402",410-40-6756,Mortgage,72134,2021-11-04 12:53:15,In-Person,377253,770,83091,Passport,Pay Stub,Bank Statements,Child,Single-Family Home,SUV,Stocks,Previous Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Further Investigation,Throughout street final respond.
Karen Leon,2000-02-20,"24648 Amy Mills Apt. 993
North Bryantown, NV 73344",,Mortgage,32736,2020-07-04 14:36:16,Online,481053,310,57442,Driver's License,Pay Stub,Tax Return,Child,Apartment,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Red Flags,Denied,Team well should also south true know.
Deborah Dyer,1961-03-29,"573 Johnson Corner Apt. 783
Edwardtown, UT 35174",,Life Insurance,51877,2022-02-02 07:30:46,Online,180861,390,2989,Passport,Letter of Employment,Bank Statements,Spouse,Condo,Truck,Stocks,Previous Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Approved,Forward with player.
James Robles,2005-06-04,"20645 Jessica Pass Apt. 763
West Melanie, NH 70408",,Life Insurance,70863,2022-05-18 21:18:00,In-Person,131600,396,78745,Passport,Pay Stub,Tax Return,Child,Single-Family Home,SUV,Artwork,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Further Investigation,Media long beat vote deal while to.
Eric Banks,1997-07-13,"721 Alexandra Summit
New Steven, GA 68431",,Life Insurance,6114,2020-07-11 23:05:21,Online,411069,645,53926,Driver's License,Letter of Employment,Tax Return,None,Condo,Sedan,Stocks,No Claims,Previous Applications,High Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Republican theory dinner mission ask right others.
Steven Duncan,1966-10-20,"225 Walker Island Suite 174
East Joseph, WA 03285",867-16-5964,Life Insurance,76724,2022-02-15 11:10:26,Online,377829,670,49035,Passport,Pay Stub,Bank Statements,Spouse,Single-Family Home,Sedan,Jewelry,Previous Claims,No Applications,Low Risk Area,Medium Risk,No Indicators,Denied,Total conference quite term special above worker.
Russell Miller,1980-09-12,"2568 Harmon Port Suite 522
Douglasberg, RI 65841",,Auto Loan,42265,2021-11-20 12:17:01,In-Person,150088,785,97807,Passport,Pay Stub,Bank Statements,Spouse,Condo,Truck,Jewelry,No Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Further Investigation,Number risk as training.
Ryan Willis,1980-05-04,"72218 Bennett Forest
West Dianetown, WY 83412",,Life Insurance,28175,2020-05-22 03:33:22,Online,285041,410,14053,Driver's License,Letter of Employment,Bank Statements,Child,Condo,Truck,Artwork,No Claims,Previous Applications,Low Risk Area,High Risk,Suspicious Activity,Further Investigation,Structure its side seat bad sure well.
Shannon Wells,1997-04-13,"4773 Joshua Road Suite 623
Knightport, RI 92152",528-94-3484,Mortgage,64298,2021-05-08 18:29:04,Online,170884,329,5623,Passport,Pay Stub,Tax Return,None,Apartment,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Suspicious Activity,Further Investigation,Station young seven fire with.
Sierra Houston,1955-04-08,"8366 Steven Unions Apt. 276
Port Keithberg, SD 41532",,Auto Loan,1420,2021-03-23 17:27:37,Online,84834,761,64863,Driver's License,Letter of Employment,Bank Statements,Child,Apartment,SUV,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Picture each writer send top not minute.
Cynthia Allen,2001-07-23,"72857 Thompson Freeway Apt. 921
Melissaport, NM 38211",,Life Insurance,61438,2020-10-27 02:25:46,In-Person,477415,566,72233,Driver's License,Pay Stub,Bank Statements,Child,Single-Family Home,Sedan,Jewelry,Previous Claims,Previous Applications,High Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Term much financial describe.
